body_type,body_type_name,local_body_code,local_body_name,assembly_constituency_no,assembly_constituency,mapped_wards_in_constituency,total_mapped_wards,dominant_share,split_constituencies,udf_wins,ldf_wins,nda_wins,oth_wins,ruling_front,ruling_front_count,second_front,second_front_count,third_front,third_front_count
G,Grama Panchayat,G02020,Vilakkudy Grama Panchayat,120,Pathanapuram,21,21,1.0000,1,9,11,0,1,LDF,11,UDF,9,OTH,1
G,Grama Panchayat,G02021,Talavoor Gramapanchayat,120,Pathanapuram,21,21,1.0000,1,9,8,4,0,UDF,9,LDF,8,NDA,4
G,Grama Panchayat,G02022,Piravanthur Gramapanchayat,120,Pathanapuram,20,20,1.0000,1,11,7,3,0,UDF,11,LDF,7,NDA,3
G,Grama Panchayat,G02023,Pattazhi Vadakkekara Gramapanchayath,120,Pathanapuram,14,14,1.0000,1,5,4,4,1,UDF,5,LDF,4,NDA,4
G,Grama Panchayat,G02024,Pattazhi Gramapanchayath,120,Pathanapuram,15,15,1.0000,1,7,5,3,0,UDF,7,LDF,5,NDA,3
G,Grama Panchayat,G02025,Pathanapuram Gramapanchayath,120,Pathanapuram,20,20,1.0000,1,10,7,0,3,UDF,10,LDF,7,OTH,3
G,Grama Panchayat,G02026,Kulathupuzha Gramapanchayath,121,Punalur,20,21,0.9524,2,12,7,0,2,UDF,12,LDF,7,OTH,2
G,Grama Panchayat,G02027,Yeroor Gramapanchayath,121,Punalur,20,21,0.9524,2,4,16,1,0,LDF,16,UDF,4,NDA,1
G,Grama Panchayat,G02028,Alayaman Gramapanchayath,122,Chadayamangalam,16,16,1.0000,1,9,3,3,1,UDF,9,LDF,3,NDA,3
G,Grama Panchayat,G02029,Anchal Gramapanchayath,121,Punalur,21,21,1.0000,1,3,11,6,1,LDF,11,NDA,6,UDF,3
G,Grama Panchayat,G02030,Edamulakkal Gramapanchayath,121,Punalur,23,23,1.0000,1,12,9,1,1,UDF,12,LDF,9,NDA,1
G,Grama Panchayat,G02031,Karavaloor Gramapanchayath,121,Punalur,17,17,1.0000,1,7,9,0,1,LDF,9,UDF,7,OTH,1
G,Grama Panchayat,G02032,Thenmala Gramapanchayath,121,Punalur,17,17,1.0000,1,4,12,0,1,LDF,12,UDF,4,OTH,1
G,Grama Panchayat,G02033,Aryankavu Gramapanchayat,121,Punalur,14,14,1.0000,1,5,6,2,1,LDF,6,UDF,5,NDA,2
G,Grama Panchayat,G02034,Veliyam Gramapanchayath,119,Kottarakkara,20,20,1.0000,1,3,16,1,0,LDF,16,UDF,3,NDA,1
G,Grama Panchayat,G02035,Pooyappally Grama Panchayath,126,Chathannoor,17,17,1.0000,1,9,8,0,0,UDF,9,LDF,8,,
G,Grama Panchayat,G02036,Kareepra Gramapanchayath,119,Kottarakkara,19,19,1.0000,1,3,10,4,2,LDF,10,NDA,4,UDF,3
G,Grama Panchayat,G02037,Ezhukone Gramapanchayath,119,Kottarakkara,17,17,1.0000,1,10,6,0,1,UDF,10,LDF,6,OTH,1
G,Grama Panchayat,G02038,Neduvathoor Grama Panchayat,119,Kottarakkara,19,19,1.0000,1,3,7,8,1,NDA,8,LDF,7,UDF,3
G,Grama Panchayat,G02041,Thrikkaruva Gramapanchayath,124,Kollam,18,18,1.0000,1,9,7,2,0,UDF,9,LDF,7,NDA,2
G,Grama Panchayat,G02042,Panayam Gramapanchayath,124,Kollam,17,18,0.9444,2,2,10,4,2,LDF,10,NDA,4,UDF,2
G,Grama Panchayat,G02043,Perinad Gramapanchayath,123,Kundara,21,21,1.0000,1,4,10,7,0,LDF,10,NDA,7,UDF,4
G,Grama Panchayat,G02044,Kundara Gramapanchayath,123,Kundara,14,14,1.0000,1,8,3,1,2,UDF,8,LDF,3,OTH,2
G,Grama Panchayat,G02045,Perayam Gramapanchayath,123,Kundara,16,16,1.0000,1,5,10,0,1,LDF,10,UDF,5,OTH,1
