year,district,district_id,constituency_id,constituency_number,constituency,candidate,party,alliance,votes,margin,round_status,is_winner,source_url
2026,Palakkad,6,52,52,Ottapalam,ADV. K. PREMKUMAR,CPI(M),LDF,75362.0,26777.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Palakkad,6,53,53,Kongad,THULASI TEACHER,INC,UDF,62734.0,3706.0,10/10,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Palakkad,6,54,54,Mannarkad,ADV. N. SAMSUDHEEN,IUML,UDF,90606.0,25903.0,12/12,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Palakkad,6,55,55,Malampuzha,A PRABHAKARAN,CPI(M),LDF,68629.0,19721.0,14/14,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Palakkad,6,56,56,Palakkad,RAMESH PISHARODY,INC,UDF,62199.0,13147.0,11/11,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Palakkad,6,57,57,Tarur,SUMOD,CPI(M),LDF,60557.0,11910.0,14/14,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Palakkad,6,58,58,Chittur,ADV. SUMESH ACHUTHAN,INC,UDF,65325.0,6510.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Palakkad,6,59,59,Nenmara,K PREMAN,CPI(M),LDF,66521.0,3305.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Palakkad,6,60,60,Alathur,T M SASI,CPI(M),LDF,61564.0,8553.0,13/13,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thrissur,7,61,61,Chelakkara,U R PRADEEP,CPI(M),LDF,76073.0,29386.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thrissur,7,62,62,Kunnamkulam,A C MOIDEEN,CPI(M),LDF,69522.0,4563.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thrissur,7,63,63,Guruvayoor,N. K. AKBAR,CPI(M),LDF,66069.0,1998.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thrissur,7,64,64,Manalur,PROF C RAVINDRANATH,CPI(M),LDF,65337.0,126.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
